:START_ID(Author)\u00F7corresponding_author\u00F7:END_ID(Article)
Chimere S. Anabanti\u00F7Yes\u00F71
Gook Hwa Cho\u00F7Yes\u00F72
Byeonghwan Go\u00F7No\u00F72
Chengshan Wang\u00F7No\u00F76286
Jiexiu He\u00F7Yes\u00F76287
Xinbo Ruan\u00F7No\u00F76287
Li Zhang\u00F7No\u00F76287
Xiao He 0001\u00F7Yes\u00F76288
Zidong Wang\u00F7No\u00F76288
Yang Liu 0099\u00F7No\u00F76288
Liguo Qin\u00F7No\u00F76288
Donghua Zhou\u00F7No\u00F76288
Aixiang He\u00F7Yes\u00F76289
Guangfen Wei\u00F7No\u00F76289
Jun Yu 0003\u00F7No\u00F76289
Zhenan Tang\u00F7No\u00F76289
Zhonghai Lin\u00F7No\u00F76289
Pingjian Wang\u00F7No\u00F76289
Parham Hekmati\u00F7Yes\u00F76290
Reza Yazdanpanah\u00F7No\u00F76290
Mojtaba Mirsalim\u00F7No\u00F76290
Ehsan Ghaemi\u00F7No\u00F76290
Jürgen Herp\u00F7Yes\u00F76291
Mohammad H. Ramezani\u00F7No\u00F76291
Esmaeil S. Nadimi\u00F7No\u00F76291
Kenji Hirata\u00F7Yes\u00F76292
Hikaru Akutsu\u00F7No\u00F76292
Akihiro Ohori\u00F7No\u00F76292
Nobuyuki Hattori\u00F7No\u00F76292
Yoshito Ohta\u00F7No\u00F76292
Van-Dung Hoang\u00F7Yes\u00F76293
My Ha Le\u00F7No\u00F76293
Kang-Hyun Jo\u00F7No\u00F76293
Young-Dae Hong\u00F7Yes\u00F76294
Bum-Joo Lee\u00F7No\u00F76294
Zhongsheng Hou\u00F7Yes\u00F76295
Ronghu Chi\u00F7No\u00F76295
Huijun Gao\u00F7No\u00F76295
Zhongsheng Hou\u00F7Yes\u00F76296
Huijun Gao\u00F7No\u00F76296
Frank L. Lewis\u00F7No\u00F76296
Yanfang Hu\u00F7Yes\u00F76297
Wen Ding\u00F7No\u00F76297
Tao Wang\u00F7No\u00F76297
Shuai Li 0008\u00F7No\u00F76297
Shuai Yang\u00F7No\u00F76297
Zhonggang Yin\u00F7No\u00F76297
Hao Hu\u00F7Yes\u00F76298
Stavros V. Georgakopoulos\u00F7No\u00F76298
Chuxiong Hu\u00F7Yes\u00F76299
Zhipeng Hu\u00F7No\u00F76299
Yu Zhu\u00F7No\u00F76299
Ze Wang\u00F7No\u00F76299
Jwu-Sheng Hu\u00F7Yes\u00F76300
Jau-Nan Lin\u00F7No\u00F76300
Hung-Chi Chen\u00F7No\u00F76300
Sideng Hu\u00F7Yes\u00F76301
Zipeng Liang\u00F7No\u00F76301
Xiangning He\u00F7No\u00F76301
Wenshan Hu\u00F7Yes\u00F76302
Zhongcheng Lei\u00F7No\u00F76302
Hong Zhou\u00F7No\u00F76302
Guo-Ping Liu 0003\u00F7No\u00F76302
Qijun Deng\u00F7No\u00F76302
Dongguo Zhou\u00F7No\u00F76302
Zhi-Wei Liu\u00F7No\u00F76302
Xiaosong Hu\u00F7Yes\u00F76303
Hong Wang\u00F7No\u00F76303
Xiaolin Tang\u00F7No\u00F76303
Sijia Hu\u00F7Yes\u00F76304
Bin Xie\u00F7No\u00F76304
Yong Li 0016\u00F7No\u00F76304
Xiang Gao\u00F7No\u00F76304
Zhiwen Zhang\u00F7No\u00F76304
Longfu Luo\u00F7No\u00F76304
Olav Krause\u00F7No\u00F76304
Yijia Cao\u00F7No\u00F76304
Hengzai Hu\u00F7Yes\u00F76305
Jing Zhao 0005\u00F7No\u00F76305
Xiangdong Liu\u00F7No\u00F76305
Youguang Guo\u00F7No\u00F76305
Jianguo Zhu\u00F7No\u00F76305
Yonghui Hu\u00F7Yes\u00F76306
Shuai Zhang 0006\u00F7No\u00F76306
Yong Yan\u00F7No\u00F76306
Lijuan Wang\u00F7No\u00F76306
Xiangchen Qian\u00F7No\u00F76306
Lu Yang\u00F7No\u00F76306
Junhao Hua\u00F7Yes\u00F76307
Chunguang Li\u00F7No\u00F76307
Hui-Liang Shen\u00F7No\u00F76307
Wei Hua\u00F7Yes\u00F76308
Hengliang Zhang\u00F7No\u00F76308
Ming Cheng 0001\u00F7No\u00F76308
Jianjian Meng\u00F7No\u00F76308
Chuang Hou\u00F7No\u00F76308
Hsu-Chih Huang\u00F7Yes\u00F76309
Shyh-Jier Huang\u00F7Yes\u00F76310
Kuan-Chieh Huang\u00F7No\u00F76310
Te-Chun Hung\u00F7No\u00F76310
Shih-Yu Liu\u00F7No\u00F76310
Pin-Yuan Wen\u00F7No\u00F76310
Tsong-Shing Lee\u00F7No\u00F76310
Chih-Cheng Huang\u00F7Yes\u00F76311
Chun-Liang Lin\u00F7No\u00F76311
Yuan-Kang Wu\u00F7No\u00F76311
Pei Huang\u00F7Yes\u00F76312
Chengxiong Mao\u00F7No\u00F76312
Dan Wang\u00F7No\u00F76312
Libing Wang\u00F7No\u00F76312
Yuping Duan\u00F7No\u00F76312
Jun Qiu\u00F7No\u00F76312
Guang Xu\u00F7No\u00F76312
Huihong Cai\u00F7No\u00F76312
Xuzhen Huang\u00F7Yes\u00F76313
Qiang Tan\u00F7No\u00F76313
Liyi Li\u00F7No\u00F76313
Jing Li\u00F7No\u00F76313
Zhenyu Qian\u00F7No\u00F76313
Zhengxing Huang\u00F7Yes\u00F76314
Jiaqi Wang\u00F7No\u00F76314
Suyuan Bai\u00F7No\u00F76314
Jingwei Guan\u00F7No\u00F76314
Fengtian Zhang\u00F7No\u00F76314
Zhenan Tang\u00F7No\u00F76314
Junping Huang\u00F7Yes\u00F76315
Xuefeng Yan\u00F7No\u00F76315
Guan-Long Huang\u00F7Yes\u00F76316
Shi-Gang Zhou\u00F7No\u00F76316
Tan-Huat Chio\u00F7No\u00F76316
Francisco Huerta\u00F7Yes\u00F76317
Ronald Lister Tello\u00F7No\u00F76317
Milan Prodanovic\u00F7No\u00F76317
Shahid Hussain\u00F7Yes\u00F76318
Prashant Kumar Jamwal\u00F7No\u00F76318
Mergen H. Ghayesh\u00F7No\u00F76318
Sheng Quan Xie\u00F7No\u00F76318
Kuo-Ing Hwu\u00F7Yes\u00F76319
Wen-Zhuang Jiang\u00F7No\u00F76319
Md. Rabiul Islam 0001\u00F7Yes\u00F76320
A. M. Mahfuz-Ur-Rahman\u00F7No\u00F76320
Md. Mazharul Islam\u00F7No\u00F76320
Youguang Guo\u00F7No\u00F76320
Jianguo Zhu\u00F7No\u00F76320
Ioan Alexandru Ivan\u00F7Yes\u00F76321
Omar Aljanaideh\u00F7No\u00F76321
Joël Agnus\u00F7No\u00F76321
Philippe Lutz\u00F7No\u00F76321
Micky Rakotondrabe\u00F7No\u00F76321
Mohammad Jafari\u00F7Yes\u00F76322
Zahra Malekjamshidi\u00F7No\u00F76322
Gang Lei\u00F7No\u00F76322
Tianshi Wang\u00F7No\u00F76322
Glenn Platt\u00F7No\u00F76322
Jianguo Zhu\u00F7No\u00F76322
Vadthya Jagan\u00F7Yes\u00F76323
Janardhana Kotturu\u00F7No\u00F76323
Sharmili Das\u00F7No\u00F76323
Sachin Jain\u00F7Yes\u00F76324
Venu Sonti\u00F7No\u00F76324
Venkat Nag Someswar Rao Jakka\u00F7Yes\u00F76325
Anshuman Shukla\u00F7No\u00F76325
Georgios D. Demetriades\u00F7No\u00F76325
N. Jordan Jameson\u00F7Yes\u00F76326
Michael H. Azarian\u00F7No\u00F76326
Michael G. Pecht\u00F7No\u00F76326
Behzad Jandaghi\u00F7Yes\u00F76327
Venkata Dinavahi\u00F7No\u00F76327
Marija Jankovic\u00F7Yes\u00F76328
Alessandro Costabeber\u00F7No\u00F76328
Alan J. Watson\u00F7No\u00F76328
Jon C. Clare\u00F7No\u00F76328
Uzair Javaid\u00F7Yes\u00F76329
Francisco D. Freijedo\u00F7No\u00F76329
Drazen Dujic\u00F7No\u00F76329
Wim van der Merwe\u00F7No\u00F76329
Sampath Jayalath\u00F7Yes\u00F76330
Moin Hanif\u00F7No\u00F76330
Prasad Kumara Sampath Jayathurathnage\u00F7Yes\u00F76331
Arokiaswami Alphones\u00F7No\u00F76331
D. Mahinda Vilathgamuwa\u00F7No\u00F76331
Yeong-Seung Jeong\u00F7Yes\u00F76332
Sung-Ho Lee\u00F7No\u00F76332
Seo-Gwang Jeong\u00F7No\u00F76332
Jung-Min Kwon\u00F7No\u00F76332
Bong-Hwan Kwon\u00F7No\u00F76332
Hyeyun Jeong\u00F7Yes\u00F76333
Seokbae Moon\u00F7No\u00F76333
Sang Woo Kim\u00F7No\u00F76333
Tianyao Ji\u00F7Yes\u00F76334
Mengjie Shi\u00F7No\u00F76334
Mengshi Li\u00F7No\u00F76334
Lu-liang Zhang\u00F7No\u00F76334
Qinghua Wu\u00F7No\u00F76334
Yao Jia\u00F7Yes\u00F76335
Tianyou Chai\u00F7No\u00F76335
Xianglei Jia\u00F7Yes\u00F76336
Xinkai Chen\u00F7No\u00F76336
Shengyuan Xu\u00F7No\u00F76336
Baoyong Zhang\u00F7No\u00F76336
Zhengqiang Zhang\u00F7No\u00F76336
Bingxi Jia\u00F7Yes\u00F76337
Jian Chen\u00F7No\u00F76337
Kaixiang Zhang\u00F7No\u00F76337
Ling Jian\u00F7Yes\u00F76338
Jundong Li\u00F7No\u00F76338
Shihua Luo\u00F7No\u00F76338
Qingchao Jiang\u00F7Yes\u00F76339
Steven X. Ding\u00F7No\u00F76339
Yang Wang\u00F7No\u00F76339
Xuefeng Yan\u00F7No\u00F76339
Weidong Jiang\u00F7Yes\u00F76340
Weicheng Ma\u00F7No\u00F76340
JinPing Wang\u00F7No\u00F76340
Lei Wang\u00F7No\u00F76340
Yan Gao\u00F7No\u00F76340
Yuxin Jiang\u00F7Yes\u00F76341
Qinglin Sun\u00F7No\u00F76341
Xiaolei Zhang\u00F7No\u00F76341
Zengqiang Chen\u00F7No\u00F76341
Ye Jiang\u00F7Yes\u00F76342
Hongwei Zhang\u00F7No\u00F76342
Jie Chen\u00F7No\u00F76342
Xi Jin\u00F7Yes\u00F76343
Fanxin Kong\u00F7No\u00F76343
Linghe Kong\u00F7No\u00F76343
Wei Liu\u00F7No\u00F76343
Peng Zeng 0001\u00F7No\u00F76343
Long Jin\u00F7Yes\u00F76344
Shuai Li 0002\u00F7No\u00F76344
Hung Manh La\u00F7No\u00F76344
Xin Luo 0001\u00F7No\u00F76344
Maolin Jin\u00F7Yes\u00F76345
Jinoh Lee\u00F7No\u00F76345
Nikolaos G. Tsagarakis\u00F7No\u00F76345
Wanxin Jin\u00F7Yes\u00F76346
Weiyang Lin\u00F7No\u00F76346
Xianqiang Yang\u00F7No\u00F76346
Huijun Gao\u00F7No\u00F76346
Qian Jin\u00F7Yes\u00F76347
Xinbo Ruan\u00F7No\u00F76347
Xiaoyong Ren\u00F7No\u00F76347
Yazhou Wang\u00F7No\u00F76347
Yang Leng\u00F7No\u00F76347
Qian Jin\u00F7Yes\u00F76348
Xinbo Ruan\u00F7No\u00F76348
Xiaoyong Ren\u00F7No\u00F76348
Yazhou Wang\u00F7No\u00F76348
Yang Leng\u00F7No\u00F76348
Chi K. Tse\u00F7No\u00F76348
Hyunsik Jo\u00F7Yes\u00F76349
Hanju Cha\u00F7No\u00F76349
Nam Hoon Jo\u00F7Yes\u00F76350
Chanyoung Jeon\u00F7No\u00F76350
Hyungbo Shim\u00F7No\u00F76350
Chia-Feng Juang\u00F7Yes\u00F76351
Kai-Jie Juang\u00F7No\u00F76351
Abhijit Kadam\u00F7Yes\u00F76352
Anshuman Shukla\u00F7No\u00F76352
Ujjwal Kumar Kalla\u00F7Yes\u00F76353
Bhim Singh\u00F7No\u00F76353
S. Sreenivasa Murthy\u00F7No\u00F76353
Sang-Woo Kang\u00F7Yes\u00F76354
Bo-Hyung Cho\u00F7No\u00F76354
Taeyong Kang\u00F7Yes\u00F76355
Sewan Choi\u00F7No\u00F76355
Ahmed S. Morsy\u00F7No\u00F76355
Prasad N. Enjeti\u00F7No\u00F76355
Sung-Mo Kang\u00F7Yes\u00F76356
Myoung-Chul Park\u00F7No\u00F76356
Hyo-Sung Ahn\u00F7No\u00F76356
Yu Kang\u00F7Yes\u00F76357
Jiahu Qin\u00F7No\u00F76357
Qichao Ma\u00F7No\u00F76357
Weiguo Song\u00F7No\u00F76357
Weiming Fu\u00F7No\u00F76357
Kyungjin Kang\u00F7Yes\u00F76358
Jeongyong Song\u00F7No\u00F76358
Chiho Kang\u00F7No\u00F76358
Sangjin Sung\u00F7No\u00F76358
Gunhee Jang\u00F7No\u00F76358
Jussi Karttunen\u00F7Yes\u00F76359
Samuli Kallio\u00F7No\u00F76359
Jari Honkanen\u00F7No\u00F76359
Pasi Peltoniemi\u00F7No\u00F76359
Pertti Silventoinen\u00F7No\u00F76359
Ramprakash Kathiresan\u00F7Yes\u00F76360
Pritam Das\u00F7No\u00F76360
Thomas Reindl\u00F7No\u00F76360
Sanjib Kumar Panda\u00F7No\u00F76360
Ramprakash Kathiresan\u00F7Yes\u00F76361
Pritam Das\u00F7No\u00F76361
Thomas Reindl\u00F7No\u00F76361
Sanjib Kumar Panda\u00F7No\u00F76361
Abdollah Kavousi-Fard\u00F7Yes\u00F76362
Abbas Khosravi\u00F7No\u00F76362
Saeid Nahavandi\u00F7No\u00F76362
Vinod Khadkikar\u00F7Yes\u00F76363
Dianguo Xu\u00F7No\u00F76363
Carlo Cecati\u00F7No\u00F76363
Anvar Khamitov\u00F7Yes\u00F76364
Alex Ruderman\u00F7No\u00F76364
Racha Khelif\u00F7Yes\u00F76365
Brigitte Chebel-Morello\u00F7No\u00F76365
Simon Malinowski\u00F7No\u00F76365
Emna Laajili\u00F7No\u00F76365
Farhat Fnaiech\u00F7No\u00F76365
Noureddine Zerhouni\u00F7No\u00F76365
Abbas Dehghani Kiadehi\u00F7Yes\u00F76366
Khalil El Khamlichi Drissi\u00F7No\u00F76366
Christophe Pasquier\u00F7No\u00F76366
Hae-Joong Kim\u00F7Yes\u00F76367
Jae-Sik Jeong\u00F7No\u00F76367
Myung-Hwan Yoon\u00F7No\u00F76367
Jae-Won Moon\u00F7No\u00F76367
Jung-Pyo Hong\u00F7No\u00F76367
Yunjeong Kim\u00F7Yes\u00F76368
Byung Kook Kim\u00F7No\u00F76368
Jun-Seok Kim\u00F7Yes\u00F76369
Sung-Ho Lee\u00F7No\u00F76369
Woo-Jun Cha\u00F7No\u00F76369
Bong-Hwan Kwon\u00F7No\u00F76369
Jun-Ho Kim\u00F7Yes\u00F76370
Il-Oun Lee\u00F7No\u00F76370
Gun-Woo Moon\u00F7No\u00F76370
Jong-Woo Kim\u00F7Yes\u00F76371
Jung-Pil Moon\u00F7No\u00F76371
Gun-Woo Moon\u00F7No\u00F76371
Jinho Kim\u00F7Yes\u00F76372
Eduard Muljadi\u00F7No\u00F76372
Jung-Wook Park\u00F7No\u00F76372
Yong Cheol Kang\u00F7No\u00F76372
Dae Whan Kim\u00F7Yes\u00F76373
Hyunseok Oh\u00F7No\u00F76373
Byeng Dong Youn\u00F7No\u00F76373
Dongil Kwon\u00F7No\u00F76373
In Hyuk Kim\u00F7Yes\u00F76374
Young Ik Son\u00F7No\u00F76374
Taeyang Kim\u00F7Yes\u00F76375
Aditya Saini\u00F7No\u00F76375
Jinwook Kim\u00F7No\u00F76375
Ashok Gopalarathnam\u00F7No\u00F76375
Yong Zhu\u00F7No\u00F76375
Frank L. Palmieri\u00F7No\u00F76375
Christopher J. Wohl\u00F7No\u00F76375
Xiaoning Jiang\u00F7No\u00F76375
Junghoon Kim\u00F7Yes\u00F76376
Bum-Jae You\u00F7No\u00F76376
Youngjin Choi\u00F7No\u00F76376
Dae-Chul Kim\u00F7Yes\u00F76377
Ji-Hoon Yoo\u00F7No\u00F76377
Wonhee Choe\u00F7No\u00F76377
Yeong-Ho Ha\u00F7No\u00F76377
Jae-Kuk Kim\u00F7Yes\u00F76378
Deok-Ki Yang\u00F7No\u00F76378
Jae-Bum Lee\u00F7No\u00F76378
Jae-Il Baek\u00F7No\u00F76378
Oleh Kiselychnyk\u00F7Yes\u00F76379
Marc Bodson\u00F7No\u00F76379
Jihong Wang\u00F7No\u00F76379
Jyri Kivimaki\u00F7Yes\u00F76380
Sergei Kolesnik\u00F7No\u00F76380
Moshe Sitbon\u00F7No\u00F76380
Teuvo Suntio\u00F7No\u00F76380
Alon Kuperman\u00F7No\u00F76380
Seungyong Ko\u00F7Yes\u00F76381
Soohwan Yu\u00F7No\u00F76381
Wonseok Kang\u00F7No\u00F76381
Chanyong Park\u00F7No\u00F76381
Sangkeun Lee\u00F7No\u00F76381
Joonki Paik\u00F7No\u00F76381
Hasan Komurcugil\u00F7Yes\u00F76382
Samet Biricik\u00F7No\u00F76382
Hasan Komurcugil\u00F7Yes\u00F76383
Sertac Bayhan\u00F7No\u00F76383
Haitham Abu-Rub\u00F7No\u00F76383
Linghe Kong\u00F7Yes\u00F76384
Xi Chen 0009\u00F7No\u00F76384
Xue Liu 0001\u00F7No\u00F76384
Qiao Xiang\u00F7No\u00F76384
Yi Gao\u00F7No\u00F76384
Noam Ben Baruch\u00F7No\u00F76384
Guihai Chen\u00F7No\u00F76384
Peng-Yong Kong\u00F7Yes\u00F76385
Chih-Wen Liu\u00F7No\u00F76385
Joe-Air Jiang\u00F7No\u00F76385
Nikhil Korada\u00F7Yes\u00F76386
Mahesh K. Mishra\u00F7No\u00F76386
Srikanth Kotra\u00F7Yes\u00F76387
Mahesh Kumar Mishra\u00F7No\u00F76387
Andreas Krings\u00F7Yes\u00F76388
Aldo Boglietti\u00F7No\u00F76388
Andrea Cavagnino\u00F7No\u00F76388
Steve Sprague\u00F7No\u00F76388
Harish S. Krishnamoorthy\u00F7Yes\u00F76389
Michael T. Daniel\u00F7No\u00F76389
Jorge Ramos-Ruiz\u00F7No\u00F76389
Prasad Enjeti\u00F7No\u00F76389
Liming Liu\u00F7No\u00F76389
Eddy Aeloiza\u00F7No\u00F76389
Abhijit Kshirsagar\u00F7Yes\u00F76390
R. Sudharshan Kaarthik\u00F7No\u00F76390
K. Gopakumar\u00F7No\u00F76390
Loganathan Umanand\u00F7No\u00F76390
Kaushik Rajashekara\u00F7No\u00F76390
P. Ramesh Kumar\u00F7Yes\u00F76391
Abhisek K. Behera\u00F7No\u00F76391
Bijnan Bandyopadhyay\u00F7No\u00F76391
Mayank Kumar 0001\u00F7Yes\u00F76392
Rajesh K. Gupta 0001\u00F7No\u00F76392
Yerraguntla Shasi Kumar\u00F7Yes\u00F76393
Gautam Poddar\u00F7No\u00F76393
Raj Kumar\u00F7Yes\u00F76394
Bhim Singh\u00F7No\u00F76394
D. T. Shahani\u00F7No\u00F76394
Chinmay Jain\u00F7No\u00F76394
Utsab Kundu\u00F7Yes\u00F76395
Parthasarathi Sensarma\u00F7No\u00F76395
Guilherme Kunz\u00F7Yes\u00F76396
José Machado 0002\u00F7No\u00F76396
Eduardo Perondi\u00F7No\u00F76396
Valeriy Vyatkin\u00F7No\u00F76396
Sinan Kurt\u00F7Yes\u00F76397
Huseyin Ugur Yildiz\u00F7No\u00F76397
Melike Yigit\u00F7No\u00F76397
Bülent Tavli\u00F7No\u00F76397
Vehbi Cagri Gungor\u00F7No\u00F76397
Young-shin Kwon\u00F7Yes\u00F76398
Won-jong Kim\u00F7No\u00F76398
Jung-Chin Lai\u00F7Yes\u00F76399
Terng-Yin Hsu\u00F7No\u00F76399
Chun Sing Lai\u00F7Yes\u00F76400
Malcolm D. McCulloch\u00F7No\u00F76400
Xuzhi Lai\u00F7Yes\u00F76401
Pan Zhang\u00F7No\u00F76401
Yawu Wang\u00F7No\u00F76401
Min Wu 0002\u00F7No\u00F76401
Suresh Lakhimsetty\u00F7Yes\u00F76402
Nagarjun Surulivel\u00F7No\u00F76402
V. T. Somasekhar\u00F7No\u00F76402
John Lam\u00F7Yes\u00F76403
Nader El-Taweel\u00F7No\u00F76403
Mehdi Abbasi\u00F7No\u00F76403
Jacob Lamb\u00F7Yes\u00F76404
Behrooz Mirafzal\u00F7No\u00F76404
Simon M. Lambert\u00F7Yes\u00F76405
Matthew Armstrong\u00F7No\u00F76405
Pierrot S. Attidekou\u00F7No\u00F76405
Paul A. Christensen\u00F7No\u00F76405
James D. Widmer\u00F7No\u00F76405
Chen Wang\u00F7No\u00F76405
Keith Scott\u00F7No\u00F76405
Manuel Lamich\u00F7Yes\u00F76406
Josep Balcells\u00F7No\u00F76406
Montserrat Corbalan\u00F7No\u00F76406
Eulalia Griful\u00F7No\u00F76406
Hoai-Nam Le\u00F7Yes\u00F76407
Koji Orikawa\u00F7No\u00F76407
Jun-ichi Itoh\u00F7No\u00F76407
Jun Young Lee\u00F7Yes\u00F76408
Pyung Hun Chang\u00F7No\u00F76408
Maolin Jin\u00F7No\u00F76408
Sung-Ho Lee\u00F7Yes\u00F76409
Woo-Jun Cha\u00F7No\u00F76409
Bong-Hwan Kwon\u00F7No\u00F76409
Sin-Woo Lee\u00F7Yes\u00F76410
Hyun-Lark Do\u00F7No\u00F76410
Sze Sing Lee\u00F7Yes\u00F76411
Yeh En Heng\u00F7No\u00F76411
Jun Lee\u00F7Yes\u00F76412
Jung-Ik Ha\u00F7No\u00F76412
Hyeonbeom Lee\u00F7Yes\u00F76413
H. Jin Kim\u00F7No\u00F76413
June-Seok Lee\u00F7Yes\u00F76414
Kyo-Beum Lee\u00F7No\u00F76414
Kyung-Min Lee\u00F7Yes\u00F76415
Sang-Won Lee 0003\u00F7No\u00F76415
Yoon-Geol Choi\u00F7No\u00F76415
Bongkoo Kang\u00F7No\u00F76415
Wonseo Lee\u00F7Yes\u00F76416
Jaekwang Nam\u00F7No\u00F76416
Bongjun Jang\u00F7No\u00F76416
Gunhee Jang\u00F7No\u00F76416
Heekwang Lee\u00F7Yes\u00F76417
Muluneh Lemma Woldesemayat\u00F7No\u00F76417
Kwanghee Nam\u00F7No\u00F76417
Gaëtan Lefebvre\u00F7Yes\u00F76418
Jean Yves Gauthier\u00F7No\u00F76418
Alaa Hijazi\u00F7No\u00F76418
Xuefang Lin-Shi\u00F7No\u00F76418
Vincent Le Digarcher\u00F7No\u00F76418
John Leis\u00F7Yes\u00F76419
David Buttsworth\u00F7No\u00F76419
Guoli Li\u00F7Yes\u00F76420
Nicolas André\u00F7No\u00F76420
Pierre Gérard\u00F7No\u00F76420
Syed Zeeshan Ali\u00F7No\u00F76420
Florin Udrea\u00F7No\u00F76420
Laurent A. Francis\u00F7No\u00F76420
Yun Zeng\u00F7No\u00F76420
Denis Flandre\u00F7No\u00F76420
Xiang Li 0009\u00F7Yes\u00F76421
Chien Chern Cheah\u00F7No\u00F76421
Meng Li 0011\u00F7Yes\u00F76422
Yong Chen 0010\u00F7No\u00F76422
Xiaocong Li\u00F7Yes\u00F76423
Si-Lu Chen\u00F7No\u00F76423
Chek-Sing Teo\u00F7No\u00F76423
Kok Kiong Tan\u00F7No\u00F76423
Weihua Li\u00F7Yes\u00F76424
Liang Ding\u00F7No\u00F76424
Zhen Liu\u00F7No\u00F76424
Weidong Wang\u00F7No\u00F76424
Haibo Gao\u00F7No\u00F76424
Mahdi Tavakoli\u00F7No\u00F76424
Yi-Chang Li\u00F7Yes\u00F76425
Seung Ho Hong\u00F7No\u00F76425
Peng Li 0006\u00F7Yes\u00F76426
Yihua Hu\u00F7No\u00F76426
Zhijun Li\u00F7Yes\u00F76427
Zhicong Huang\u00F7No\u00F76427
Wei He\u00F7No\u00F76427
Chun-Yi Su\u00F7No\u00F76427
Shihua Li\u00F7Yes\u00F76428
Lennart Harnefors\u00F7No\u00F76428
Makoto Iwasaki\u00F7No\u00F76428
Xuan Li\u00F7Yes\u00F76429
Junning Jiang\u00F7No\u00F76429
Alex Q. Huang\u00F7No\u00F76429
Suxuan Guo\u00F7No\u00F76429
Xiaochuan Deng\u00F7No\u00F76429
Bo Zhang\u00F7No\u00F76429
Xu She\u00F7No\u00F76429
Zhijun Li\u00F7Yes\u00F76430
Yu Kang\u00F7No\u00F76430
Zhiye Xiao\u00F7No\u00F76430
Weiguo Song\u00F7No\u00F76430
Xinde Li\u00F7Yes\u00F76431
Xianghui Li\u00F7No\u00F76431
Shuzhi Sam Ge\u00F7No\u00F76431
Mohammad Omar Khyam\u00F7No\u00F76431
Chaomin Luo\u00F7No\u00F76431
Naipeng Li\u00F7Yes\u00F76432
Yaguo Lei\u00F7No\u00F76432
Liang Guo\u00F7No\u00F76432
Tao Yan\u00F7No\u00F76432
Jing Lin\u00F7No\u00F76432
Junhui Li\u00F7Yes\u00F76433
Hailong Liao\u00F7No\u00F76433
Dasong Ge\u00F7No\u00F76433
Can Zhou\u00F7No\u00F76433
Chengdi Xiao\u00F7No\u00F76433
Qing Tian\u00F7No\u00F76433
Wenhui Zhu\u00F7No\u00F76433
Zhijun Li\u00F7Yes\u00F76434
Junqiang Liu\u00F7No\u00F76434
Zhicong Huang\u00F7No\u00F76434
Yan Peng\u00F7No\u00F76434
Huayan Pu\u00F7No\u00F76434
Liang Ding\u00F7No\u00F76434
Weilin Li\u00F7Yes\u00F76435
Liliuyuan Liang\u00F7No\u00F76435
Wenjie Liu\u00F7No\u00F76435
Xiaohua Wu\u00F7No\u00F76435
Weili Li\u00F7Yes\u00F76436
Dan Li\u00F7No\u00F76436
Jinyang Li 0003\u00F7No\u00F76436
Xiaochen Zhang 0001\u00F7No\u00F76436
Mengfan Li\u00F7Yes\u00F76437
Wei Li 0006\u00F7No\u00F76437
Linwei Niu\u00F7No\u00F76437
Huihui Zhou\u00F7No\u00F76437
Genshe Chen\u00F7No\u00F76437
Feng Duan\u00F7No\u00F76437
Liang Li 0004\u00F7Yes\u00F76438
Yishi Lu\u00F7No\u00F76438
Rongrong Wang\u00F7No\u00F76438
Jie Chen\u00F7No\u00F76438
Qiang Li 0016\u00F7Yes\u00F76439
Congbo Peng\u00F7No\u00F76439
Minyou Chen\u00F7No\u00F76439
Feixiong Chen\u00F7No\u00F76439
Wenfa Kang\u00F7No\u00F76439
Josep M. Guerrero\u00F7No\u00F76439
Derek Abbott\u00F7No\u00F76439
Zhi Li 0039\u00F7Yes\u00F76440
Jinjun Shan\u00F7No\u00F76440
Haifen Li\u00F7Yes\u00F76441
Yonghong Tan\u00F7No\u00F76441
Ruili Dong\u00F7No\u00F76441
Yanyan Li\u00F7No\u00F76441
Shizhen Li\u00F7Yes\u00F76442
Jianhua Wei\u00F7No\u00F76442
Kai Guo\u00F7No\u00F76442
Wu-Le Zhu\u00F7No\u00F76442
Hong Li 0002\u00F7Yes\u00F76443
Shiheng Wang\u00F7No\u00F76443
Jinhu Lu\u00F7No\u00F76443
Xiaojie You\u00F7No\u00F76443
Xinghuo Yu\u00F7No\u00F76443
Xu Li 0004\u00F7Yes\u00F76444
Qimin Xu\u00F7No\u00F76444
Chushan Li\u00F7Yes\u00F76445
Dewei Xu\u00F7No\u00F76445
Xiaoping Li\u00F7Yes\u00F76446
Mengfan Xue\u00F7No\u00F76446
Haiyan Fang\u00F7No\u00F76446
Bing Liu\u00F7No\u00F76446
Haifeng Sun\u00F7No\u00F76446
Yanming Liu\u00F7No\u00F76446
Peng Li\u00F7Yes\u00F76447
Lili Xie\u00F7No\u00F76447
Jiawei Han 0003\u00F7No\u00F76447
Shilin Pang\u00F7No\u00F76447
Peihao Li\u00F7No\u00F76447
Yongbo Li\u00F7Yes\u00F76448
Minqiang Xu\u00F7No\u00F76448
Xihui Liang\u00F7No\u00F76448
Wenhu Huang\u00F7No\u00F76448
Jie Li\u00F7Yes\u00F76449
Yuanqing Xia\u00F7No\u00F76449
Xiaohui Qi\u00F7No\u00F76449
Zhiqiang Gao\u00F7No\u00F76449
Shouxiang Li\u00F7Yes\u00F76450
Kang Xiangli\u00F7No\u00F76450
Keyue Ma Smedley\u00F7No\u00F76450
